epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,718.924,0.79612,0.48112,1.18961,0.99557,0.94737,0.99024,0.80122,0.82449,0.3617,1.3395,0.0015743,0.0015743,0.0015743
45,737.042,0.81828,0.47559,1.20434,0.9978,1,0.995,0.75338,0.92049,0.36283,1.42183,0.0015644,0.0015644,0.0015644
46,753.179,0.80822,0.46433,1.19798,0.99496,1,0.995,0.79145,0.86869,0.36524,1.39885,0.0015545,0.0015545,0.0015545
47,769.674,0.81302,0.48012,1.19931,0.99478,0.94737,0.9925,0.75529,0.92429,0.37288,1.4232,0.0015446,0.0015446,0.0015446
48,786.055,0.79674,0.4765,1.19872,0.99409,1,0.995,0.7931,0.83686,0.35129,1.36368,0.0015347,0.0015347,0.0015347
49,802.077,0.78554,0.46625,1.19547,0.99691,1,0.995,0.80225,0.85739,0.35412,1.41243,0.0015248,0.0015248,0.0015248
50,818.63,0.78655,0.46985,1.17641,0.99695,1,0.995,0.75753,0.9061,0.34331,1.43078,0.0015149,0.0015149,0.0015149
51,834.922,0.76314,0.45177,1.19234,1,0.99757,0.995,0.76104,0.89219,0.36814,1.38854,0.001505,0.001505,0.001505
52,854.281,0.77515,0.47409,1.19385,1,0.99456,0.995,0.80376,0.84701,0.34332,1.36419,0.0014951,0.0014951,0.0014951
53,874.852,0.79821,0.46701,1.20388,0.99777,1,0.995,0.79309,0.85745,0.32684,1.37996,0.0014852,0.0014852,0.0014852
54,890.364,0.7834,0.46915,1.19158,0.99715,1,0.995,0.77617,0.89918,0.34097,1.41575,0.0014753,0.0014753,0.0014753
55,906.012,0.76489,0.44203,1.18348,0.99735,1,0.995,0.79268,0.88418,0.3359,1.40803,0.0014654,0.0014654,0.0014654
56,921.923,0.76161,0.4386,1.17082,0.99663,1,0.995,0.76817,0.87684,0.35223,1.41913,0.0014555,0.0014555,0.0014555
57,937.736,0.76534,0.44571,1.16743,1,0.99132,0.995,0.81395,0.83966,0.33354,1.3656,0.0014456,0.0014456,0.0014456
58,953.326,0.74783,0.42895,1.16696,0.99746,1,0.995,0.82289,0.793,0.37708,1.29329,0.0014357,0.0014357,0.0014357
59,969.264,0.74773,0.44335,1.15051,0.94982,0.9965,0.9925,0.80302,0.83244,0.3584,1.34922,0.0014258,0.0014258,0.0014258
60,984.932,0.77793,0.45706,1.18819,1,0.99584,0.995,0.79972,0.88359,0.36426,1.36098,0.0014159,0.0014159,0.0014159
61,1000.05,0.74542,0.44482,1.16784,1,0.99882,0.995,0.81453,0.80042,0.33518,1.34848,0.001406,0.001406,0.001406
62,1015.76,0.73189,0.41549,1.14535,0.99156,0.94737,0.9925,0.77748,0.87511,0.34316,1.39884,0.0013961,0.0013961,0.0013961
63,1031.33,0.74013,0.43587,1.16909,1,0.99616,0.995,0.77939,0.88939,0.33988,1.42743,0.0013862,0.0013862,0.0013862
64,1046.9,0.75817,0.44423,1.1745,0.99998,1,0.995,0.81,0.82632,0.32515,1.35094,0.0013763,0.0013763,0.0013763
65,1062.9,0.73714,0.41731,1.16337,1,0.99862,0.995,0.76256,0.86613,0.3369,1.41472,0.0013664,0.0013664,0.0013664
66,1079.11,0.74472,0.41547,1.15243,0.99695,1,0.995,0.78646,0.87208,0.34649,1.4036,0.0013565,0.0013565,0.0013565
67,1095.83,0.73359,0.41288,1.15706,0.99723,1,0.995,0.79479,0.85622,0.32529,1.36824,0.0013466,0.0013466,0.0013466
68,1112.08,0.74601,0.43637,1.16259,0.99758,1,0.995,0.79803,0.84623,0.3213,1.39364,0.0013367,0.0013367,0.0013367
69,1128.42,0.71651,0.41642,1.14611,0.99674,1,0.995,0.81124,0.8197,0.31052,1.32592,0.0013268,0.0013268,0.0013268
70,1144.82,0.72897,0.41596,1.15785,0.99716,1,0.995,0.79893,0.84714,0.3132,1.44771,0.0013169,0.0013169,0.0013169
71,1160.5,0.7474,0.42179,1.15651,0.99726,1,0.995,0.81577,0.82925,0.30165,1.42326,0.001307,0.001307,0.001307
72,1176.9,0.70929,0.40273,1.14097,0.9977,1,0.995,0.81679,0.83878,0.301,1.36923,0.0012971,0.0012971,0.0012971
73,1194.56,0.73184,0.4038,1.15736,0.99731,1,0.995,0.77479,0.89574,0.32381,1.4601,0.0012872,0.0012872,0.0012872
