epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3585.18,0.97279,0.70478,1.10687,0.9535,0.95,0.95088,0.72399,0.93317,0.56549,1.04379,0.00124944,0.00124944,0.00124944
44,3668.34,0.95061,0.71927,1.09725,0.99383,0.95,0.94624,0.75624,0.84418,0.51636,0.99676,0.00121893,0.00121893,0.00121893
45,3751.82,0.96279,0.69567,1.10959,0.99048,0.95,0.94629,0.74188,0.89587,0.5758,0.99073,0.00118819,0.00118819,0.00118819
46,3835,0.97762,0.69887,1.10344,0.99465,0.95,0.94672,0.75029,0.88953,0.52773,0.99666,0.00115728,0.00115728,0.00115728
47,3918.59,0.97394,0.65634,1.09467,0.99372,0.95,0.94653,0.74657,0.87949,0.49019,0.99864,0.00112621,0.00112621,0.00112621
48,4002.29,0.92989,0.65236,1.07396,0.94086,0.95,0.9423,0.75176,0.91053,0.48057,1.00837,0.00109501,0.00109501,0.00109501
49,4085.52,0.95082,0.65226,1.093,0.99229,0.95,0.94671,0.76276,0.88461,0.51348,0.98639,0.00106373,0.00106373,0.00106373
50,4168.94,0.94536,0.64858,1.09242,0.99124,0.95,0.94694,0.73068,0.84347,0.50262,0.99252,0.00103238,0.00103238,0.00103238
51,4251.74,0.95531,0.67182,1.09405,1,0.94586,0.95611,0.76342,0.80675,0.49745,0.99228,0.001001,0.001001,0.001001
52,4336,0.91976,0.60683,1.08995,0.9948,0.95,0.95204,0.74419,0.86585,0.50233,1.00344,0.000969621,0.000969621,0.000969621
53,4419.44,0.93577,0.63597,1.0986,0.99537,0.95,0.94757,0.75875,0.8897,0.52538,1.01359,0.000938272,0.000938272,0.000938272
54,4502.36,0.92472,0.61082,1.07009,0.99676,0.95,0.94735,0.75403,0.93143,0.48215,1.02716,0.000906986,0.000906986,0.000906986
55,4585.82,0.89973,0.6065,1.0697,0.99526,0.95,0.94592,0.73827,0.9215,0.47596,1.00728,0.000875792,0.000875792,0.000875792
56,4669.1,0.94273,0.58905,1.07443,0.9963,0.95,0.9485,0.75706,0.89044,0.45106,1.00022,0.000844722,0.000844722,0.000844722
57,4752.45,0.91615,0.58822,1.07335,0.98479,0.95,0.94679,0.76075,0.87445,0.55912,1.00516,0.000813806,0.000813806,0.000813806
58,4835.84,0.90962,0.61658,1.07269,0.98941,0.95,0.94615,0.76282,0.87923,0.54298,1.00783,0.000783075,0.000783075,0.000783075
59,4919.29,0.89513,0.58934,1.06342,0.99232,0.95,0.94786,0.7755,0.82789,0.52222,1.00067,0.000752559,0.000752559,0.000752559
60,5003.37,0.90303,0.63455,1.06798,0.94263,0.95,0.94191,0.77511,0.78642,0.5123,0.97996,0.000722288,0.000722288,0.000722288
61,5083.94,0.87778,0.57385,1.05509,0.99106,0.95,0.94739,0.76206,0.77204,0.47848,0.9924,0.000692292,0.000692292,0.000692292
62,5166.26,0.85001,0.56714,1.03895,0.99489,0.95,0.94739,0.78036,0.80276,0.4587,0.98183,0.000662601,0.000662601,0.000662601
63,5249.26,0.90296,0.57748,1.07452,0.99288,0.95,0.94651,0.77381,0.74627,0.4647,0.98641,0.000633244,0.000633244,0.000633244
64,5332.67,0.8843,0.56864,1.06539,0.9957,0.95,0.9471,0.7688,0.7283,0.43075,0.96618,0.000604249,0.000604249,0.000604249
65,5414.83,0.85771,0.55535,1.06042,0.99366,0.95,0.94782,0.77763,0.77352,0.47289,0.97005,0.000575646,0.000575646,0.000575646
66,5495.1,0.86304,0.57099,1.05959,0.99278,0.95,0.9468,0.76675,0.78032,0.42555,0.9612,0.000547463,0.000547463,0.000547463
67,5575.46,0.83939,0.55285,1.04529,0.99259,0.95,0.95049,0.75714,0.79456,0.45085,0.95346,0.000519728,0.000519728,0.000519728
68,5655.77,0.86049,0.53509,1.03873,0.9936,0.95,0.95263,0.7778,0.83192,0.45991,0.97274,0.000492468,0.000492468,0.000492468
69,5735.8,0.82348,0.5288,1.03698,0.99468,0.95,0.98071,0.79762,0.76333,0.40402,0.96451,0.000465709,0.000465709,0.000465709
70,5815.92,0.83004,0.53945,1.03232,0.99572,0.95,0.94593,0.76747,0.7882,0.4401,0.97813,0.000439479,0.000439479,0.000439479
71,5896.12,0.8386,0.53037,1.04196,0.99502,0.95,0.94713,0.77097,0.84823,0.51194,0.99394,0.000413803,0.000413803,0.000413803
72,5976.38,0.82479,0.51404,1.02934,0.99318,0.95,0.94657,0.76984,0.81971,0.48552,0.97926,0.000388706,0.000388706,0.000388706
73,6056.83,0.80309,0.50585,1.03015,0.9962,0.95,0.94695,0.77634,0.77472,0.44191,0.95968,0.000364213,0.000364213,0.000364213
74,6137.7,0.81162,0.4901,1.03029,0.99253,0.95,0.94802,0.76166,0.79792,0.44125,0.96266,0.000340349,0.000340349,0.000340349
75,6217.89,0.80029,0.49182,1.02752,0.99636,0.95,0.94833,0.76033,0.78355,0.43721,0.97536,0.000317137,0.000317137,0.000317137
